policy,budget,seed,top1,n,zero_usable,usable_pct,received_pct,lat_ms_mean,lat_ms_p99,run
keyframe,0.125,0,0.0,303,302,0.0,25.72,51.34,81.07,keyframe-b0.125-s0
keyframe,0.125,1,0.0,303,302,0.0,25.75,51.39,81.18,keyframe-b0.125-s1
keyframe,0.125,2,0.0,303,303,0.0,25.72,51.35,81.35,keyframe-b0.125-s2
semantic,0.125,0,0.0033,303,302,0.03,22.54,44.66,88.96,semantic-b0.125-s0
semantic,0.125,1,0.0,303,301,0.01,21.96,45.06,89.67,semantic-b0.125-s1
semantic,0.125,2,0.0,303,302,0.0,21.98,44.8,89.37,semantic-b0.125-s2
tail,0.125,0,0.0,303,303,0.0,25.9,61.05,93.23,tail-b0.125-s0
tail,0.125,1,0.0,303,303,0.0,25.87,61.03,93.03,tail-b0.125-s1
tail,0.125,2,0.0,303,303,0.0,25.77,61.15,93.41,tail-b0.125-s2
uniform,0.125,0,0.0033,303,302,0.0,23.06,45.52,89.6,uniform-b0.125-s0
uniform,0.125,1,0.0,303,302,0.0,23.08,44.72,88.43,uniform-b0.125-s1
uniform,0.125,2,0.0,303,303,0.0,22.84,44.61,89.59,uniform-b0.125-s2
keyframe,0.25,0,0.0462,303,286,0.53,45.42,63.33,85.49,keyframe-b0.25-s0
keyframe,0.25,1,0.0429,303,285,0.6,45.52,63.42,85.61,keyframe-b0.25-s1
keyframe,0.25,2,0.0363,303,291,0.6,45.44,63.49,85.54,keyframe-b0.25-s2
semantic,0.25,0,0.33,303,189,4.73,32.88,43.75,91.66,semantic-b0.25-s0
semantic,0.25,1,0.3036,303,193,5.0,33.17,43.5,91.21,semantic-b0.25-s1
semantic,0.25,2,0.33,303,186,4.66,32.9,44.09,91.4,semantic-b0.25-s2
tail,0.25,0,0.0363,303,289,0.66,45.55,72.47,95.68,tail-b0.25-s0
tail,0.25,1,0.033,303,290,0.59,45.49,72.71,95.67,tail-b0.25-s1
tail,0.25,2,0.0363,303,291,0.58,45.6,72.65,95.66,tail-b0.25-s2
uniform,0.25,0,0.1947,303,232,1.79,36.52,44.08,92.28,uniform-b0.25-s0
uniform,0.25,1,0.1947,303,233,1.56,35.88,42.6,91.74,uniform-b0.25-s1
uniform,0.25,2,0.2277,303,222,1.71,35.51,42.77,92.78,uniform-b0.25-s2
keyframe,0.375,0,0.2013,303,234,7.22,60.51,65.18,87.43,keyframe-b0.375-s0
keyframe,0.375,1,0.1881,303,241,6.84,60.47,65.28,86.96,keyframe-b0.375-s1
keyframe,0.375,2,0.1848,303,237,6.88,60.48,65.1,86.93,keyframe-b0.375-s2
semantic,0.375,0,0.67,303,73,20.34,43.87,44.62,93.53,semantic-b0.375-s0
semantic,0.375,1,0.6766,303,76,20.89,41.99,43.07,93.47,semantic-b0.375-s1
semantic,0.375,2,0.7063,303,62,20.65,43.32,43.63,93.52,semantic-b0.375-s2
